date,symbol,currency,open,close,high,low,volume
2025-11-12,2410.HK,HKD,13.97,13.84,14.18,13.81,2497549
2025-11-13,2410.HK,HKD,13.97,13.68,13.97,13.63,3115643
2025-11-14,2410.HK,HKD,13.6,13.8,14.25,13.5,3964626
2025-11-17,2410.HK,HKD,13.7,13.96,14.39,13.7,2829071
2025-11-18,2410.HK,HKD,13.96,13.73,14.15,13.71,1313833
2025-11-19,2410.HK,HKD,13.86,13.65,13.88,13.65,1234101
2025-11-20,2410.HK,HKD,13.66,13.18,13.85,13.15,2336474
2025-11-21,2410.HK,HKD,13.17,12.26,13.17,12.14,4038164
2025-11-24,2410.HK,HKD,12.26,12.41,12.45,12.1,2091224
2025-11-25,2410.HK,HKD,12.45,12.51,12.72,12.42,1778519
2025-11-26,2410.HK,HKD,12.55,12.97,13.16,12.55,2740253
2025-11-27,2410.HK,HKD,13.0,13.2,13.2,12.8,1921941
2025-11-28,2410.HK,HKD,13.21,13.53,13.68,13.2,2593353
2025-12-01,2410.HK,HKD,13.45,13.42,13.85,13.26,1761324
2025-12-02,2410.HK,HKD,13.42,12.73,13.55,12.61,2560853
2025-12-03,2410.HK,HKD,12.67,12.42,12.73,12.37,2016022
2025-12-04,2410.HK,HKD,12.6,13.26,13.37,12.54,4102055
2025-12-05,2410.HK,HKD,13.54,14.0,14.95,12.95,13682584
2025-12-08,2410.HK,HKD,14.0,14.02,14.27,13.81,3507686
2025-12-09,2410.HK,HKD,14.0,13.12,14.1,12.98,5200396
2025-12-10,2410.HK,HKD,13.19,13.08,13.19,12.79,1921096
2025-12-11,2410.HK,HKD,13.0,12.87,13.39,12.8,2506042
2025-12-12,2410.HK,HKD,13.04,13.13,13.6,12.9,3712007
2025-12-15,2410.HK,HKD,12.95,13.16,13.49,12.95,1839295
2025-12-16,2410.HK,HKD,13.17,13.39,13.46,12.74,2161760
2025-12-17,2410.HK,HKD,13.48,13.75,13.87,13.1,1922538
2025-12-18,2410.HK,HKD,13.72,13.7,13.91,13.49,1373651
2025-12-19,2410.HK,HKD,13.51,13.32,13.87,13.3,2817174
2025-12-22,2410.HK,HKD,13.45,13.12,13.55,13.02,1555144
2025-12-23,2410.HK,HKD,13.01,13.08,13.12,12.91,759037
2025-12-24,2410.HK,HKD,13.38,12.82,13.38,12.82,1718000
2025-12-29,2410.HK,HKD,12.82,12.82,13.13,12.2,2350094
2025-12-30,2410.HK,HKD,13.05,13.19,13.76,12.94,3348054
2025-12-31,2410.HK,HKD,13.01,13.11,13.55,12.94,1691500
2026-01-02,2410.HK,HKD,13.3,12.93,13.3,12.76,189569
2026-01-05,2410.HK,HKD,12.9,12.92,13.45,12.61,3554239
2026-01-06,2410.HK,HKD,13.24,12.92,13.24,12.85,2041984
2026-01-07,2410.HK,HKD,13.76,13.97,14.89,13.5,15457910
2026-01-08,2410.HK,HKD,14.13,13.68,14.25,13.65,3464161
2026-01-09,2410.HK,HKD,13.7,14.3,14.44,13.7,5947046
2026-01-12,2410.HK,HKD,14.45,14.34,14.68,14.19,3735861
2026-01-13,2410.HK,HKD,14.51,14.57,14.66,14.26,3246706
2026-01-14,2410.HK,HKD,14.65,14.28,14.65,14.06,4357701
2026-01-15,2410.HK,HKD,14.13,13.72,14.28,13.65,3204289
2026-01-16,2410.HK,HKD,13.94,13.56,13.94,13.4,2082130
2026-01-19,2410.HK,HKD,13.5,13.48,13.59,13.26,1166100
2026-01-20,2410.HK,HKD,13.32,13.2,13.5,13.07,1786333
2026-01-21,2410.HK,HKD,13.2,13.01,13.21,12.9,2203756
2026-01-22,2410.HK,HKD,13.18,13.04,13.18,12.88,1361147
2026-01-23,2410.HK,HKD,13.13,12.98,13.27,12.95,1663276
2026-01-26,2410.HK,HKD,12.98,12.7,12.98,12.58,2537730
2026-01-27,2410.HK,HKD,12.54,12.49,12.72,12.41,2450617
2026-01-28,2410.HK,HKD,12.55,12.45,12.73,12.41,5732879
2026-01-29,2410.HK,HKD,12.53,12.41,12.56,12.14,2458055
2026-01-30,2410.HK,HKD,13.49,12.65,14.13,12.62,8525294
2026-02-02,2410.HK,HKD,12.95,12.27,12.95,12.18,2530861
2026-02-03,2410.HK,HKD,12.27,12.36,12.59,12.15,1514850
2026-02-04,2410.HK,HKD,12.35,12.37,12.52,12.29,859587
2026-02-05,2410.HK,HKD,12.55,12.6,12.82,12.34,1602940
2026-02-06,2410.HK,HKD,12.55,12.9,13.47,12.33,4705867
2026-02-09,2410.HK,HKD,13.25,12.86,13.45,12.68,2354614
2026-02-10,2410.HK,HKD,12.63,12.76,13.13,12.63,1930818
2026-02-11,2410.HK,HKD,12.95,12.58,12.95,12.55,1658599
2026-02-12,2410.HK,HKD,12.5,12.67,12.73,12.48,1039538
2026-02-13,2410.HK,HKD,12.6,12.8,12.88,12.58,1126531
2026-02-16,2410.HK,HKD,12.81,12.76,12.98,12.71,86000
