date,symbol,currency,open,close,high,low,volume
2025-12-17,0090.HK,HKD,1.26,1.3,1.3,1.19,838000
2025-12-18,0090.HK,HKD,1.26,1.23,1.26,1.22,194000
2025-12-19,0090.HK,HKD,1.34,1.33,1.35,1.19,210000
2025-12-22,0090.HK,HKD,1.31,1.36,1.37,1.29,238000
2025-12-23,0090.HK,HKD,1.36,1.34,1.36,1.3,18000
2025-12-24,0090.HK,HKD,1.34,1.34,1.35,1.34,276000
2025-12-29,0090.HK,HKD,1.27,1.26,1.27,1.26,44000
2025-12-30,0090.HK,HKD,1.26,1.26,1.26,1.26,28000
2025-12-31,0090.HK,HKD,1.26,1.27,1.28,1.22,208000
2026-01-02,0090.HK,HKD,1.26,1.19,1.26,1.15,298000
2026-01-05,0090.HK,HKD,1.22,1.21,1.3,1.21,72000
2026-01-06,0090.HK,HKD,1.28,1.23,1.28,1.22,354000
2026-01-07,0090.HK,HKD,1.23,1.3,1.3,1.23,262000
2026-01-08,0090.HK,HKD,1.29,1.32,1.35,1.29,210000
2026-01-09,0090.HK,HKD,1.31,1.31,1.31,1.31,6000
2026-01-12,0090.HK,HKD,1.29,1.16,1.29,1.1,1110000
2026-01-13,0090.HK,HKD,1.16,1.19,1.28,1.16,132000
2026-01-14,0090.HK,HKD,1.2,1.22,1.25,1.2,46000
2026-01-15,0090.HK,HKD,1.17,1.16,1.21,1.15,462000
2026-01-16,0090.HK,HKD,1.2,1.26,1.36,1.2,422000
2026-01-19,0090.HK,HKD,1.27,1.26,1.28,1.26,244000
2026-01-20,0090.HK,HKD,1.26,1.2,1.26,1.16,238000
2026-01-21,0090.HK,HKD,1.21,1.24,1.25,1.21,206000
2026-01-22,0090.HK,HKD,1.24,1.21,1.28,1.21,334000
2026-01-23,0090.HK,HKD,1.23,1.23,1.23,1.23,10000
2026-01-26,0090.HK,HKD,1.2,1.22,1.25,1.2,312000
2026-01-27,0090.HK,HKD,1.2,1.19,1.21,1.18,120000
2026-01-28,0090.HK,HKD,1.19,1.19,1.19,1.16,152000
2026-01-29,0090.HK,HKD,1.19,1.15,1.2,1.13,364000
2026-01-30,0090.HK,HKD,1.17,1.14,1.17,1.1,288000
2026-02-02,0090.HK,HKD,1.14,1.11,1.15,1.11,68000
2026-02-03,0090.HK,HKD,1.11,1.14,1.14,1.11,6000
2026-02-04,0090.HK,HKD,1.14,1.14,1.14,1.14,80000
2026-02-05,0090.HK,HKD,1.11,1.16,1.21,1.11,318000
2026-02-06,0090.HK,HKD,1.21,1.2,1.23,1.13,18000
2026-02-09,0090.HK,HKD,1.2,1.21,1.21,1.2,64000
2026-02-10,0090.HK,HKD,1.2,1.21,1.21,1.2,52000
2026-02-11,0090.HK,HKD,1.2,1.25,1.28,1.2,252000
2026-02-12,0090.HK,HKD,1.25,1.27,1.27,1.25,250000
2026-02-13,0090.HK,HKD,1.25,1.24,1.27,1.24,146000
2026-02-16,0090.HK,HKD,1.24,1.24,1.24,1.24,0
2026-02-20,0090.HK,HKD,1.22,1.2,1.24,1.18,344000
2026-02-23,0090.HK,HKD,1.26,1.3,1.33,1.26,30000
2026-02-24,0090.HK,HKD,1.3,1.3,1.3,1.3,0
2026-02-25,0090.HK,HKD,1.3,1.3,1.3,1.3,0
2026-02-26,0090.HK,HKD,1.3,1.3,1.33,1.3,12000
2026-02-27,0090.HK,HKD,1.3,1.29,1.3,1.23,14000
2026-03-02,0090.HK,HKD,1.3,1.15,1.3,1.12,124000
2026-03-03,0090.HK,HKD,1.15,1.14,1.2,1.14,74000
2026-03-04,0090.HK,HKD,1.15,1.19,1.19,1.14,36000
2026-03-05,0090.HK,HKD,1.19,1.13,1.2,1.12,206000
2026-03-06,0090.HK,HKD,1.17,1.13,1.17,1.13,80000
2026-03-09,0090.HK,HKD,1.13,1.12,1.13,1.12,30000
2026-03-10,0090.HK,HKD,1.16,1.09,1.16,1.06,152000
2026-03-11,0090.HK,HKD,1.09,1.12,1.12,1.03,174000
2026-03-12,0090.HK,HKD,1.12,1.09,1.14,1.04,186000
2026-03-13,0090.HK,HKD,1.05,1.02,1.06,1.02,124000
2026-03-16,0090.HK,HKD,1.02,0.99,1.02,0.92,22000
2026-03-17,0090.HK,HKD,0.99,0.99,0.99,0.91,316000
2026-03-18,0090.HK,HKD,0.92,0.89,0.94,0.83,582000
2026-03-19,0090.HK,HKD,0.91,0.89,0.91,0.85,60000
2026-03-20,0090.HK,HKD,0.89,0.83,0.9,0.8,532000
2026-03-23,0090.HK,HKD,0.85,0.88,0.95,0.8,1338000
2026-03-24,0090.HK,HKD,0.94,0.94,0.98,0.94,62000
2026-03-25,0090.HK,HKD,0.89,0.85,0.89,0.84,268000
2026-03-26,0090.HK,HKD,0.88,0.86,0.9,0.85,70000
2026-03-27,0090.HK,HKD,0.86,0.95,0.96,0.86,446000
2026-03-30,0090.HK,HKD,0.97,0.96,0.97,0.87,124000
2026-03-31,0090.HK,HKD,0.93,0.94,0.95,0.91,84000
2026-04-01,0090.HK,HKD,0.96,1.3,1.33,0.96,1872000
2026-04-02,0090.HK,HKD,1.3,1.07,1.3,1.06,354000
2026-04-08,0090.HK,HKD,1.09,1.15,1.24,1.09,516000
2026-04-09,0090.HK,HKD,1.1,1.13,1.14,1.1,124000
2026-04-10,0090.HK,HKD,1.13,1.19,1.22,1.1,218000
2026-04-13,0090.HK,HKD,1.19,1.19,1.19,1.19,0
2026-04-14,0090.HK,HKD,1.16,1.13,1.16,1.12,26000
2026-04-15,0090.HK,HKD,1.11,1.16,1.24,1.1,106000
2026-04-16,0090.HK,HKD,1.16,1.13,1.16,1.13,22000
