date,symbol,currency,open,close,high,low,volume
2025-11-12,0552.HK,HKD,4.87,4.81,4.87,4.75,7231920
2025-11-13,0552.HK,HKD,4.81,4.81,4.83,4.77,2911506
2025-11-14,0552.HK,HKD,4.78,4.8,4.82,4.77,4542720
2025-11-17,0552.HK,HKD,4.77,4.77,4.79,4.73,4272000
2025-11-18,0552.HK,HKD,4.77,4.7,4.77,4.65,8138616
2025-11-19,0552.HK,HKD,4.73,4.67,4.73,4.66,5157482
2025-11-20,0552.HK,HKD,4.68,4.72,4.75,4.66,4448402
2025-11-21,0552.HK,HKD,4.72,4.65,4.72,4.62,4802882
2025-11-24,0552.HK,HKD,4.63,4.73,4.73,4.62,11714392
2025-11-25,0552.HK,HKD,4.78,4.7,4.78,4.67,5580838
2025-11-26,0552.HK,HKD,4.74,4.74,4.77,4.72,3755407
2025-11-27,0552.HK,HKD,4.75,4.9,4.95,4.74,12291391
2025-11-28,0552.HK,HKD,4.9,4.87,4.91,4.83,3024180
2025-12-01,0552.HK,HKD,4.89,4.93,4.94,4.87,6865087
2025-12-02,0552.HK,HKD,4.93,4.97,4.98,4.91,10139010
2025-12-03,0552.HK,HKD,4.97,4.84,4.97,4.81,3432400
2025-12-04,0552.HK,HKD,4.84,4.84,4.86,4.8,4315654
2025-12-05,0552.HK,HKD,4.81,4.85,4.86,4.78,4700961
2025-12-08,0552.HK,HKD,4.84,4.83,4.88,4.81,3719605
2025-12-09,0552.HK,HKD,4.8,4.69,4.81,4.66,7586490
2025-12-10,0552.HK,HKD,4.69,4.66,4.72,4.63,5118048
2025-12-11,0552.HK,HKD,4.72,4.58,4.72,4.56,6170000
2025-12-12,0552.HK,HKD,4.65,4.66,4.7,4.57,10734400
2025-12-15,0552.HK,HKD,4.65,4.51,4.65,4.48,11988647
2025-12-16,0552.HK,HKD,4.5,4.39,4.5,4.38,12981397
2025-12-17,0552.HK,HKD,4.43,4.42,4.45,4.36,10372824
2025-12-18,0552.HK,HKD,4.42,4.42,4.47,4.38,10709774
2025-12-19,0552.HK,HKD,4.43,4.56,4.59,4.43,20289920
2025-12-22,0552.HK,HKD,4.6,4.52,4.62,4.5,3508099
2025-12-23,0552.HK,HKD,4.52,4.55,4.56,4.51,4032770
2025-12-24,0552.HK,HKD,4.56,4.58,4.58,4.55,1955080
2025-12-29,0552.HK,HKD,4.58,4.49,4.61,4.48,8375000
2025-12-30,0552.HK,HKD,4.49,4.49,4.53,4.48,7298510
2025-12-31,0552.HK,HKD,4.53,4.48,4.56,4.48,2104000
2026-01-02,0552.HK,HKD,4.55,4.65,4.68,4.53,6151681
2026-01-05,0552.HK,HKD,4.65,4.77,4.8,4.65,9804139
2026-01-06,0552.HK,HKD,4.77,4.75,4.8,4.71,8357345
2026-01-07,0552.HK,HKD,4.76,4.64,4.76,4.63,7173700
2026-01-08,0552.HK,HKD,4.62,4.56,4.65,4.51,18211158
2026-01-09,0552.HK,HKD,4.56,4.57,4.62,4.51,9534380
2026-01-12,0552.HK,HKD,4.58,4.57,4.59,4.5,8759405
2026-01-13,0552.HK,HKD,4.62,4.62,4.77,4.58,14611350
2026-01-14,0552.HK,HKD,4.61,4.59,4.66,4.54,10698652
2026-01-15,0552.HK,HKD,4.6,4.62,4.66,4.57,9476400
2026-01-16,0552.HK,HKD,4.64,4.62,4.64,4.58,7508000
2026-01-19,0552.HK,HKD,4.58,4.54,4.59,4.52,8418081
2026-01-20,0552.HK,HKD,4.53,4.59,4.6,4.53,5802394
2026-01-21,0552.HK,HKD,4.57,4.62,4.63,4.54,8531740
2026-01-22,0552.HK,HKD,4.62,4.62,4.66,4.59,5798400
2026-01-23,0552.HK,HKD,4.63,4.58,4.63,4.55,6792456
2026-01-26,0552.HK,HKD,4.57,4.6,4.64,4.57,8531085
2026-01-27,0552.HK,HKD,4.58,4.73,4.73,4.58,10424044
2026-01-28,0552.HK,HKD,4.73,4.81,4.85,4.73,8114459
2026-01-29,0552.HK,HKD,4.78,4.77,4.8,4.73,6048000
2026-01-30,0552.HK,HKD,4.75,4.76,4.76,4.65,8176446
2026-02-02,0552.HK,HKD,4.75,4.58,4.75,4.51,19058233
2026-02-03,0552.HK,HKD,4.59,4.49,4.61,4.49,11846810
2026-02-04,0552.HK,HKD,4.49,4.52,4.54,4.47,9230512
2026-02-05,0552.HK,HKD,4.52,4.54,4.54,4.44,12168109
2026-02-06,0552.HK,HKD,4.58,4.45,4.58,4.45,10084896
2026-02-09,0552.HK,HKD,4.51,4.44,4.56,4.43,15876120
2026-02-10,0552.HK,HKD,4.47,4.48,4.49,4.44,6414400
2026-02-11,0552.HK,HKD,4.5,4.52,4.53,4.44,16435848
2026-02-12,0552.HK,HKD,4.5,4.53,4.53,4.44,8207931
2026-02-13,0552.HK,HKD,4.51,4.47,4.51,4.43,12526590
2026-02-16,0552.HK,HKD,4.47,4.54,4.54,4.46,1530000
2026-02-20,0552.HK,HKD,4.55,4.46,4.55,4.38,9450000
2026-02-23,0552.HK,HKD,4.46,4.47,4.53,4.46,9395192
2026-02-24,0552.HK,HKD,4.45,4.44,4.48,4.41,19145910
2026-02-25,0552.HK,HKD,4.45,4.43,4.52,4.43,10642749
2026-02-26,0552.HK,HKD,4.44,4.44,4.48,4.39,17309143
2026-02-27,0552.HK,HKD,4.44,4.45,4.47,4.38,164082641
2026-03-02,0552.HK,HKD,4.47,4.41,4.56,4.39,52862719
2026-03-03,0552.HK,HKD,4.44,4.32,4.44,4.29,14050069
2026-03-04,0552.HK,HKD,4.32,4.21,4.32,4.19,28708898
2026-03-05,0552.HK,HKD,4.24,4.2,4.29,4.17,19638370
2026-03-06,0552.HK,HKD,4.2,4.32,4.32,4.16,19802000
2026-03-09,0552.HK,HKD,4.31,4.26,4.31,4.21,12632808
2026-03-10,0552.HK,HKD,4.28,4.33,4.35,4.27,15009045
2026-03-11,0552.HK,HKD,4.34,4.41,4.41,4.33,10704000
2026-03-12,0552.HK,HKD,4.37,4.51,4.52,4.35,13519000
2026-03-13,0552.HK,HKD,4.45,4.43,4.47,4.4,7691000
2026-03-16,0552.HK,HKD,4.4,4.37,4.41,4.33,11457635
2026-03-17,0552.HK,HKD,4.38,4.4,4.44,4.36,6533227
2026-03-18,0552.HK,HKD,4.35,4.37,4.38,4.29,8758777
2026-03-19,0552.HK,HKD,4.34,4.36,4.38,4.28,10410000
2026-03-20,0552.HK,HKD,4.37,4.29,4.37,4.25,9594428
2026-03-23,0552.HK,HKD,4.25,4.18,4.25,4.12,10031165
2026-03-24,0552.HK,HKD,4.18,4.22,4.24,4.16,10637330
2026-03-25,0552.HK,HKD,4.22,4.31,4.32,4.2,10093523
2026-03-26,0552.HK,HKD,4.25,4.17,4.3,4.14,12299057
2026-03-27,0552.HK,HKD,4.17,4.17,4.19,4.1,10359095
2026-03-30,0552.HK,HKD,4.17,4.1,4.17,4.06,4254500
2026-03-31,0552.HK,HKD,4.09,4.22,4.23,4.07,8912464
2026-04-01,0552.HK,HKD,4.23,4.05,4.27,4.05,16609106
2026-04-02,0552.HK,HKD,4.06,4.07,4.08,4.01,9697139
2026-04-08,0552.HK,HKD,4.17,4.25,4.29,4.13,16495493
2026-04-09,0552.HK,HKD,4.26,4.3,4.32,4.21,13578308
2026-04-10,0552.HK,HKD,4.31,4.25,4.32,4.2,6187874
2026-04-13,0552.HK,HKD,4.25,4.25,4.27,4.18,7228956
2026-04-14,0552.HK,HKD,4.22,4.24,4.28,4.22,4143600
2026-04-15,0552.HK,HKD,4.27,4.22,4.27,4.19,5224000
2026-04-16,0552.HK,HKD,4.25,4.25,4.26,4.19,4582000
