date,symbol,currency,open,close,high,low,volume
2025-11-12,6936.HK,HKD,36.04,36.06,36.2,35.9,1564092
2025-11-13,6936.HK,HKD,36.06,35.98,36.14,35.78,2065464
2025-11-14,6936.HK,HKD,35.82,35.8,36.1,35.5,2815675
2025-11-17,6936.HK,HKD,35.8,35.52,35.94,35.32,1030366
2025-11-18,6936.HK,HKD,35.54,35.04,35.54,34.98,2625087
2025-11-19,6936.HK,HKD,35.3,35.1,35.3,34.86,1329422
2025-11-20,6936.HK,HKD,35.1,35.28,35.44,35.02,1294970
2025-11-21,6936.HK,HKD,34.6,34.62,34.94,34.5,4181021
2025-11-24,6936.HK,HKD,34.62,35.02,35.02,34.62,1933690
2025-11-25,6936.HK,HKD,35.16,35.12,35.58,35.02,1271880
2025-11-26,6936.HK,HKD,35.06,35.6,35.82,35.06,1701899
2025-11-27,6936.HK,HKD,35.6,35.7,35.9,35.56,1155290
2025-11-28,6936.HK,HKD,35.86,35.78,35.86,35.46,1163660
2025-12-01,6936.HK,HKD,35.62,36.06,36.12,35.32,3200000
2025-12-02,6936.HK,HKD,36.16,35.74,36.2,35.46,1997346
2025-12-03,6936.HK,HKD,35.74,35.46,36.0,35.36,1570435
2025-12-04,6936.HK,HKD,35.7,35.68,35.74,35.36,997483
2025-12-05,6936.HK,HKD,35.4,35.48,35.72,35.4,1147309
2025-12-08,6936.HK,HKD,35.6,35.14,35.7,35.02,1235700
2025-12-09,6936.HK,HKD,35.12,34.34,35.12,34.34,3357684
2025-12-10,6936.HK,HKD,34.46,34.58,34.6,33.88,1653225
2025-12-11,6936.HK,HKD,34.24,34.2,34.76,34.1,1332689
2025-12-12,6936.HK,HKD,34.24,35.0,35.12,34.18,1651905
2025-12-15,6936.HK,HKD,34.8,34.76,35.26,34.64,1190719
2025-12-16,6936.HK,HKD,35.0,34.86,35.1,34.56,1199516
2025-12-17,6936.HK,HKD,34.86,34.72,34.94,34.56,1023800
2025-12-18,6936.HK,HKD,34.72,34.6,34.8,34.5,1511710
2025-12-19,6936.HK,HKD,34.6,34.96,34.96,34.5,2345301
2025-12-22,6936.HK,HKD,35.0,34.9,35.0,34.64,3139365
2025-12-23,6936.HK,HKD,34.9,35.5,35.7,34.9,2620781
2025-12-24,6936.HK,HKD,35.5,35.02,35.52,34.94,1127881
2025-12-29,6936.HK,HKD,35.02,35.0,35.38,34.88,1460727
2025-12-30,6936.HK,HKD,35.02,34.74,35.02,34.7,1297856
2025-12-31,6936.HK,HKD,34.9,34.68,35.08,34.52,1239313
2026-01-02,6936.HK,HKD,34.68,35.18,35.5,34.68,503448
2026-01-05,6936.HK,HKD,35.1,35.06,35.28,34.88,1602224
2026-01-06,6936.HK,HKD,35.32,35.44,35.64,35.3,2287476
2026-01-07,6936.HK,HKD,35.52,35.38,35.68,35.08,1807953
2026-01-08,6936.HK,HKD,35.54,35.14,35.54,34.84,3361087
2026-01-09,6936.HK,HKD,35.5,35.12,35.6,34.96,2609822
2026-01-12,6936.HK,HKD,35.12,35.42,35.6,34.98,2843815
2026-01-13,6936.HK,HKD,35.76,35.74,36.5,35.6,3399287
2026-01-14,6936.HK,HKD,36.0,35.36,36.12,35.36,2102919
2026-01-15,6936.HK,HKD,36.3,36.2,37.28,36.04,6144313
2026-01-16,6936.HK,HKD,36.22,36.1,36.32,35.6,3516414
2026-01-19,6936.HK,HKD,36.12,36.32,36.32,35.56,2142600
2026-01-20,6936.HK,HKD,36.32,37.1,37.4,36.04,4591400
2026-01-21,6936.HK,HKD,37.1,37.18,37.42,36.86,3260400
2026-01-22,6936.HK,HKD,37.22,36.8,37.36,36.8,1391418
2026-01-23,6936.HK,HKD,37.34,36.78,37.34,36.56,1663198
2026-01-26,6936.HK,HKD,36.78,36.4,37.08,36.2,1275909
2026-01-27,6936.HK,HKD,36.4,35.88,36.52,35.64,2610450
2026-01-28,6936.HK,HKD,35.98,35.86,36.06,35.48,2495481
2026-01-29,6936.HK,HKD,35.86,36.06,36.2,35.58,2326655
2026-01-30,6936.HK,HKD,36.0,35.62,36.2,35.54,1802354
2026-02-02,6936.HK,HKD,35.52,35.0,35.78,34.78,2467701
2026-02-03,6936.HK,HKD,35.4,35.02,35.4,34.76,2591048
2026-02-04,6936.HK,HKD,35.0,36.66,36.94,34.98,5310600
2026-02-05,6936.HK,HKD,36.62,37.08,37.62,36.56,3750456
2026-02-06,6936.HK,HKD,37.08,36.88,37.2,36.62,1572983
2026-02-09,6936.HK,HKD,37.3,36.88,37.3,36.78,1483420
2026-02-10,6936.HK,HKD,36.82,36.9,37.38,36.58,1456512
2026-02-11,6936.HK,HKD,37.0,36.84,37.26,36.68,1410906
2026-02-12,6936.HK,HKD,36.98,36.4,36.98,36.26,1708245
2026-02-13,6936.HK,HKD,36.28,36.2,36.64,36.08,925927
2026-02-16,6936.HK,HKD,36.12,36.28,36.48,36.0,170695
2026-02-20,6936.HK,HKD,36.28,35.82,36.6,35.74,633980
2026-02-23,6936.HK,HKD,35.82,36.16,36.5,35.82,416521
2026-02-24,6936.HK,HKD,36.3,36.04,36.3,35.9,1259980
2026-02-25,6936.HK,HKD,36.04,36.34,36.88,35.76,2569491
2026-02-26,6936.HK,HKD,36.32,35.72,36.36,35.62,1501572
2026-02-27,6936.HK,HKD,36.0,35.98,36.34,35.74,809550
2026-03-02,6936.HK,HKD,35.38,34.72,35.74,34.62,3214968
2026-03-03,6936.HK,HKD,35.3,34.76,35.3,34.46,1948444
2026-03-04,6936.HK,HKD,34.52,33.94,34.72,33.9,3224782
2026-03-05,6936.HK,HKD,34.46,34.26,34.72,34.02,2280601
2026-03-06,6936.HK,HKD,34.64,35.08,35.6,34.2,5120351
2026-03-09,6936.HK,HKD,34.36,34.4,35.0,34.0,1808856
2026-03-10,6936.HK,HKD,34.56,35.04,35.12,34.56,2408114
2026-03-11,6936.HK,HKD,35.1,35.06,35.32,34.92,1115627
2026-03-12,6936.HK,HKD,34.86,34.62,35.02,34.2,1338925
2026-03-13,6936.HK,HKD,34.62,34.76,35.0,34.22,2327322
2026-03-16,6936.HK,HKD,34.74,34.98,35.02,34.36,1149941
2026-03-17,6936.HK,HKD,35.0,34.94,35.52,34.78,1404400
2026-03-18,6936.HK,HKD,35.32,34.6,35.32,34.56,1043751
2026-03-19,6936.HK,HKD,34.6,34.08,34.6,33.8,2594800
2026-03-20,6936.HK,HKD,34.32,34.52,34.52,33.94,1924000
2026-03-23,6936.HK,HKD,34.22,33.02,34.22,32.78,3149800
2026-03-24,6936.HK,HKD,33.34,33.6,33.68,32.78,1490300
2026-03-25,6936.HK,HKD,33.96,33.88,34.0,33.62,1539400
2026-03-26,6936.HK,HKD,33.6,33.46,34.22,33.4,1742220
2026-03-27,6936.HK,HKD,33.88,33.82,33.98,33.38,983327
2026-03-30,6936.HK,HKD,34.06,33.32,34.06,32.98,1767200
2026-03-31,6936.HK,HKD,34.26,35.24,35.7,34.08,6199878
2026-04-01,6936.HK,HKD,35.56,35.68,35.92,35.3,3245814
2026-04-02,6936.HK,HKD,35.98,35.5,35.98,35.06,961800
2026-04-08,6936.HK,HKD,35.84,35.66,35.94,35.34,2073804
2026-04-09,6936.HK,HKD,35.86,35.44,35.86,35.22,703450
2026-04-10,6936.HK,HKD,35.44,35.5,35.58,35.04,856750
2026-04-13,6936.HK,HKD,35.5,35.12,35.5,34.84,1746150
2026-04-14,6936.HK,HKD,35.56,35.58,36.0,35.36,738915
2026-04-15,6936.HK,HKD,35.66,36.14,37.0,35.66,3067257
2026-04-16,6936.HK,HKD,36.4,35.98,36.4,35.66,1722600
