date,symbol,currency,open,close,high,low,volume
2025-11-12,1876.HK,HKD,8.0,8.08,8.11,7.97,27733113
2025-11-13,1876.HK,HKD,8.08,8.22,8.25,8.07,12143613
2025-11-14,1876.HK,HKD,8.19,8.24,8.24,8.1,9929124
2025-11-17,1876.HK,HKD,8.23,8.15,8.23,8.06,10383299
2025-11-18,1876.HK,HKD,8.12,7.95,8.12,7.9,14315816
2025-11-19,1876.HK,HKD,7.95,7.86,7.99,7.83,12271909
2025-11-20,1876.HK,HKD,7.86,7.97,8.0,7.84,11943410
2025-11-21,1876.HK,HKD,7.9,7.84,7.97,7.84,8300470
2025-11-24,1876.HK,HKD,7.92,7.94,7.98,7.87,11578581
2025-11-25,1876.HK,HKD,7.98,7.97,8.02,7.94,7935972
2025-11-26,1876.HK,HKD,8.06,7.98,8.06,7.94,18344286
2025-11-27,1876.HK,HKD,7.97,8.07,8.18,7.96,21134830
2025-11-28,1876.HK,HKD,8.05,8.01,8.2,8.01,11073218
2025-12-01,1876.HK,HKD,8.01,8.1,8.1,8.01,6566723
2025-12-02,1876.HK,HKD,8.1,8.29,8.29,8.03,16795270
2025-12-03,1876.HK,HKD,8.22,8.17,8.29,8.11,6532431
2025-12-04,1876.HK,HKD,8.16,8.1,8.24,8.04,5131809
2025-12-05,1876.HK,HKD,8.08,7.92,8.08,7.88,24553725
2025-12-08,1876.HK,HKD,7.9,7.8,7.94,7.77,21187590
2025-12-09,1876.HK,HKD,7.82,7.87,7.87,7.72,18337087
2025-12-10,1876.HK,HKD,7.87,7.79,7.87,7.76,10400846
2025-12-11,1876.HK,HKD,7.79,7.86,7.87,7.78,8786955
2025-12-12,1876.HK,HKD,7.99,7.81,7.99,7.81,11638680
2025-12-15,1876.HK,HKD,7.8,7.83,7.91,7.76,6068958
2025-12-16,1876.HK,HKD,7.82,7.84,7.9,7.78,10600328
2025-12-17,1876.HK,HKD,7.84,7.91,7.91,7.83,6969272
2025-12-18,1876.HK,HKD,7.88,7.88,7.9,7.83,2054116
2025-12-19,1876.HK,HKD,7.88,7.85,7.9,7.78,17029327
2025-12-22,1876.HK,HKD,7.9,7.84,7.92,7.79,6871150
2025-12-23,1876.HK,HKD,7.83,7.87,7.92,7.81,12143352
2025-12-24,1876.HK,HKD,7.85,7.83,7.92,7.81,3260022
2025-12-29,1876.HK,HKD,7.85,7.77,7.94,7.76,7800983
2025-12-30,1876.HK,HKD,7.77,7.64,7.79,7.61,16467334
2025-12-31,1876.HK,HKD,7.64,7.59,7.69,7.58,5446255
2026-01-02,1876.HK,HKD,7.59,7.77,7.79,7.59,18884634
2026-01-05,1876.HK,HKD,7.77,7.86,7.87,7.69,17715109
2026-01-06,1876.HK,HKD,7.86,7.84,7.93,7.81,12516359
2026-01-07,1876.HK,HKD,7.84,7.99,7.99,7.82,17986264
2026-01-08,1876.HK,HKD,7.91,7.8,7.95,7.77,11527419
2026-01-09,1876.HK,HKD,7.81,7.78,7.87,7.76,8751990
2026-01-12,1876.HK,HKD,7.81,7.85,7.87,7.74,15205890
2026-01-13,1876.HK,HKD,7.83,7.77,7.9,7.72,17988371
2026-01-14,1876.HK,HKD,7.77,7.7,7.78,7.66,10763164
2026-01-15,1876.HK,HKD,7.74,7.72,7.79,7.69,7591899
2026-01-16,1876.HK,HKD,7.75,7.65,7.78,7.6,13484965
2026-01-19,1876.HK,HKD,7.65,7.6,7.69,7.6,15191700
2026-01-20,1876.HK,HKD,7.62,7.68,7.72,7.6,13756586
2026-01-21,1876.HK,HKD,7.68,7.62,7.68,7.52,22346395
2026-01-22,1876.HK,HKD,7.63,7.72,7.74,7.62,10780606
2026-01-23,1876.HK,HKD,7.72,7.68,7.76,7.65,9396800
2026-01-26,1876.HK,HKD,7.68,7.69,7.71,7.61,6268588
2026-01-27,1876.HK,HKD,7.69,7.69,7.73,7.65,4643679
2026-01-28,1876.HK,HKD,7.69,7.7,7.71,7.62,10235421
2026-01-29,1876.HK,HKD,7.7,7.94,7.95,7.62,21344566
2026-01-30,1876.HK,HKD,7.88,7.7,7.97,7.7,9635700
2026-02-02,1876.HK,HKD,7.7,7.75,7.8,7.63,8955500
2026-02-03,1876.HK,HKD,7.84,7.81,7.87,7.73,8965522
2026-02-04,1876.HK,HKD,7.85,7.96,8.07,7.84,16201130
2026-02-05,1876.HK,HKD,7.96,8.15,8.2,7.86,26752803
2026-02-06,1876.HK,HKD,8.15,8.2,8.21,8.07,11792945
2026-02-09,1876.HK,HKD,8.23,8.1,8.3,8.07,14801800
2026-02-10,1876.HK,HKD,8.12,8.22,8.22,8.06,8362334
2026-02-11,1876.HK,HKD,8.22,8.26,8.28,8.14,9715554
2026-02-12,1876.HK,HKD,8.09,7.83,8.09,7.75,31189548
2026-02-13,1876.HK,HKD,7.83,7.94,7.97,7.76,19697901
2026-02-16,1876.HK,HKD,7.94,7.9,7.94,7.84,6544000
2026-02-20,1876.HK,HKD,7.88,7.74,7.96,7.73,8943529
2026-02-23,1876.HK,HKD,7.78,7.83,7.88,7.78,10851239
2026-02-24,1876.HK,HKD,7.83,7.88,7.95,7.79,22573390
2026-02-25,1876.HK,HKD,7.9,7.96,8.08,7.89,15643789
2026-02-26,1876.HK,HKD,7.98,7.9,8.06,7.88,9858749
2026-02-27,1876.HK,HKD,7.9,7.79,7.9,7.75,17001992
2026-03-02,1876.HK,HKD,7.75,7.67,7.83,7.66,14771423
2026-03-03,1876.HK,HKD,7.73,7.64,7.75,7.62,12776908
2026-03-04,1876.HK,HKD,7.64,7.47,7.64,7.41,18371917
2026-03-05,1876.HK,HKD,7.52,7.48,7.58,7.43,13439537
2026-03-06,1876.HK,HKD,7.48,7.71,7.72,7.46,19246591
2026-03-09,1876.HK,HKD,7.7,7.63,7.7,7.52,11479835
2026-03-10,1876.HK,HKD,7.67,7.71,7.75,7.67,7434046
2026-03-11,1876.HK,HKD,7.73,7.72,7.81,7.72,9213094
2026-03-12,1876.HK,HKD,7.69,7.56,7.7,7.52,12212300
2026-03-13,1876.HK,HKD,7.56,7.49,7.56,7.46,10422051
2026-03-16,1876.HK,HKD,7.55,7.34,7.55,7.31,24205930
2026-03-17,1876.HK,HKD,7.37,7.38,7.53,7.37,10916418
2026-03-18,1876.HK,HKD,7.41,7.32,7.41,7.29,11857976
2026-03-19,1876.HK,HKD,7.28,7.15,7.28,7.12,15703684
2026-03-20,1876.HK,HKD,7.13,7.32,7.33,7.1,73449770
2026-03-23,1876.HK,HKD,7.1,7.05,7.2,6.95,29090890
2026-03-24,1876.HK,HKD,7.1,7.12,7.15,6.98,15617227
2026-03-25,1876.HK,HKD,7.16,7.15,7.22,7.08,9465360
2026-03-26,1876.HK,HKD,7.15,7.11,7.17,7.06,9042513
2026-03-27,1876.HK,HKD,7.11,7.14,7.21,7.06,10697966
2026-03-30,1876.HK,HKD,7.14,7.14,7.2,7.07,7708247
2026-03-31,1876.HK,HKD,7.15,7.2,7.26,7.15,10649000
2026-04-01,1876.HK,HKD,7.3,7.34,7.36,7.21,10753924
2026-04-02,1876.HK,HKD,7.33,7.55,7.55,7.29,20289361
2026-04-08,1876.HK,HKD,7.64,7.87,7.89,7.58,39772861
2026-04-09,1876.HK,HKD,7.86,7.67,7.86,7.65,13115487
2026-04-10,1876.HK,HKD,7.69,7.72,7.74,7.63,9282123
2026-04-13,1876.HK,HKD,7.72,7.65,7.72,7.61,5099236
2026-04-14,1876.HK,HKD,7.65,7.55,7.7,7.52,2322292
2026-04-15,1876.HK,HKD,7.57,7.53,7.59,7.5,7214551
2026-04-16,1876.HK,HKD,7.53,7.48,7.54,7.41,10784500
