date,symbol,currency,open,close,high,low,volume
2025-12-17,0216.HK,HKD,0.57,0.57,0.57,0.57,0
2025-12-18,0216.HK,HKD,0.57,0.57,0.57,0.57,0
2025-12-19,0216.HK,HKD,0.57,0.57,0.57,0.57,0
2025-12-22,0216.HK,HKD,0.55,0.57,0.57,0.55,216000
2025-12-23,0216.HK,HKD,0.57,0.57,0.57,0.57,0
2025-12-24,0216.HK,HKD,0.57,0.57,0.57,0.57,0
2025-12-29,0216.HK,HKD,0.57,0.57,0.57,0.57,124000
2025-12-30,0216.HK,HKD,0.57,0.57,0.57,0.57,2000
2025-12-31,0216.HK,HKD,0.57,0.57,0.57,0.57,0
2026-01-02,0216.HK,HKD,0.57,0.57,0.57,0.57,0
2026-01-05,0216.HK,HKD,0.57,0.57,0.57,0.57,0
2026-01-06,0216.HK,HKD,0.57,0.57,0.57,0.57,0
2026-01-07,0216.HK,HKD,0.58,0.58,0.58,0.58,0
2026-01-08,0216.HK,HKD,0.58,0.58,0.58,0.58,0
2026-01-09,0216.HK,HKD,0.58,0.58,0.58,0.58,0
2026-01-12,0216.HK,HKD,0.58,0.58,0.58,0.58,0
2026-01-13,0216.HK,HKD,0.58,0.58,0.58,0.58,0
2026-01-14,0216.HK,HKD,0.58,0.58,0.58,0.58,0
2026-01-15,0216.HK,HKD,0.58,0.58,0.58,0.58,0
2026-01-16,0216.HK,HKD,0.58,0.58,0.58,0.58,0
2026-01-19,0216.HK,HKD,0.58,0.58,0.58,0.58,1416
2026-01-20,0216.HK,HKD,0.58,0.58,0.58,0.58,0
2026-01-21,0216.HK,HKD,0.58,0.58,0.58,0.58,0
2026-01-22,0216.HK,HKD,0.58,0.58,0.58,0.58,0
2026-01-23,0216.HK,HKD,0.58,0.58,0.58,0.58,0
2026-01-26,0216.HK,HKD,0.6,0.6,0.6,0.6,472000
2026-01-27,0216.HK,HKD,0.6,0.6,0.6,0.6,0
2026-01-28,0216.HK,HKD,0.6,0.6,0.6,0.6,0
2026-01-29,0216.HK,HKD,0.63,0.63,0.64,0.63,288000
2026-01-30,0216.HK,HKD,0.63,0.63,0.63,0.63,0
2026-02-02,0216.HK,HKD,0.58,0.58,0.58,0.58,8000
2026-02-03,0216.HK,HKD,0.58,0.58,0.58,0.58,0
2026-02-04,0216.HK,HKD,0.59,0.59,0.59,0.59,0
2026-02-05,0216.HK,HKD,0.62,0.62,0.62,0.62,16000
2026-02-06,0216.HK,HKD,0.62,0.62,0.62,0.62,0
2026-02-09,0216.HK,HKD,0.62,0.62,0.62,0.62,0
2026-02-10,0216.HK,HKD,0.62,0.62,0.62,0.62,0
2026-02-11,0216.HK,HKD,0.62,0.62,0.62,0.62,0
2026-02-12,0216.HK,HKD,0.62,0.62,0.62,0.62,200000
2026-02-13,0216.HK,HKD,0.62,0.62,0.62,0.62,0
2026-02-16,0216.HK,HKD,0.62,0.62,0.62,0.62,0
2026-02-20,0216.HK,HKD,0.62,0.62,0.62,0.62,0
2026-02-23,0216.HK,HKD,0.62,0.62,0.62,0.62,0
2026-02-24,0216.HK,HKD,0.62,0.62,0.62,0.62,0
2026-02-25,0216.HK,HKD,0.62,0.62,0.62,0.62,0
2026-02-26,0216.HK,HKD,0.62,0.62,0.62,0.62,0
2026-02-27,0216.HK,HKD,0.62,0.62,0.62,0.62,0
2026-03-02,0216.HK,HKD,0.62,0.62,0.62,0.62,0
2026-03-03,0216.HK,HKD,0.64,0.64,0.64,0.64,0
2026-03-04,0216.HK,HKD,0.66,0.67,0.67,0.66,108000
2026-03-05,0216.HK,HKD,0.67,0.67,0.67,0.67,404000
2026-03-06,0216.HK,HKD,0.67,0.67,0.67,0.67,0
2026-03-09,0216.HK,HKD,0.66,0.67,0.67,0.61,84000
2026-03-10,0216.HK,HKD,0.67,0.67,0.67,0.67,0
2026-03-11,0216.HK,HKD,0.67,0.67,0.67,0.67,0
2026-03-12,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-03-13,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-03-16,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-03-17,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-03-18,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-03-19,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-03-20,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-03-23,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-03-24,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-03-25,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-03-26,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-03-27,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-03-30,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-03-31,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-04-01,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-04-02,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-04-08,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-04-09,0216.HK,HKD,0.66,0.66,0.66,0.66,0
2026-04-10,0216.HK,HKD,0.61,0.61,0.61,0.61,12000
2026-04-13,0216.HK,HKD,0.61,0.61,0.61,0.61,0
2026-04-14,0216.HK,HKD,0.61,0.61,0.61,0.61,0
2026-04-15,0216.HK,HKD,0.61,0.61,0.61,0.61,0
2026-04-16,0216.HK,HKD,0.61,0.61,0.61,0.61,0
