date,symbol,currency,open,close,high,low,volume
2025-11-12,0839.HK,HKD,3.1,3.12,3.15,3.08,6173093
2025-11-13,0839.HK,HKD,2.98,2.97,3.01,2.69,97938585
2025-11-14,0839.HK,HKD,2.97,2.93,2.99,2.91,11504000
2025-11-17,0839.HK,HKD,2.93,2.92,2.94,2.85,5959760
2025-11-18,0839.HK,HKD,2.93,2.86,2.93,2.84,8761000
2025-11-19,0839.HK,HKD,2.85,2.79,2.86,2.75,19162320
2025-11-20,0839.HK,HKD,2.8,2.79,2.82,2.76,9011616
2025-11-21,0839.HK,HKD,2.79,2.67,2.79,2.66,15649880
2025-11-24,0839.HK,HKD,2.71,2.73,2.74,2.67,8346763
2025-11-25,0839.HK,HKD,2.75,2.74,2.78,2.73,8325000
2025-11-26,0839.HK,HKD,2.76,2.75,2.78,2.73,6758394
2025-11-27,0839.HK,HKD,2.69,2.75,2.76,2.66,12619000
2025-11-28,0839.HK,HKD,2.76,2.8,2.81,2.76,6912000
2025-12-01,0839.HK,HKD,2.8,2.86,2.89,2.79,16759897
2025-12-02,0839.HK,HKD,2.87,2.94,3.04,2.87,38172206
2025-12-03,0839.HK,HKD,2.97,2.95,3.01,2.95,21111617
2025-12-04,0839.HK,HKD,2.94,3.0,3.06,2.94,24555222
2025-12-05,0839.HK,HKD,3.0,3.01,3.03,2.95,14791857
2025-12-08,0839.HK,HKD,3.02,2.99,3.06,2.99,14883778
2025-12-09,0839.HK,HKD,2.99,3.02,3.03,2.97,9971506
2025-12-10,0839.HK,HKD,3.0,2.99,3.02,2.97,9841625
2025-12-11,0839.HK,HKD,2.99,2.93,3.0,2.91,8506545
2025-12-12,0839.HK,HKD,2.94,2.98,2.99,2.91,6580002
2025-12-15,0839.HK,HKD,2.94,3.05,3.08,2.94,11453236
2025-12-16,0839.HK,HKD,3.05,2.98,3.05,2.97,4511000
2025-12-17,0839.HK,HKD,2.99,3.17,3.21,2.98,30915066
2025-12-18,0839.HK,HKD,3.17,3.3,3.33,3.14,35889678
2025-12-19,0839.HK,HKD,3.31,3.35,3.35,3.28,19246000
2025-12-22,0839.HK,HKD,3.32,3.34,3.37,3.28,16266636
2025-12-23,0839.HK,HKD,3.31,3.4,3.4,3.3,9938102
2025-12-24,0839.HK,HKD,3.4,3.39,3.4,3.35,4182809
2025-12-29,0839.HK,HKD,3.39,3.2,3.39,3.2,16976364
2025-12-30,0839.HK,HKD,3.19,3.15,3.29,3.14,16146746
2025-12-31,0839.HK,HKD,3.16,3.1,3.18,3.09,30358592
2026-01-02,0839.HK,HKD,3.08,3.13,3.15,3.07,5735000
2026-01-05,0839.HK,HKD,3.13,3.13,3.19,3.09,10325000
2026-01-06,0839.HK,HKD,3.13,3.14,3.17,3.08,10522000
2026-01-07,0839.HK,HKD,3.14,3.25,3.26,3.13,8128593
2026-01-08,0839.HK,HKD,3.25,3.1,3.25,3.03,19379903
2026-01-09,0839.HK,HKD,3.12,3.12,3.14,3.09,6459000
2026-01-12,0839.HK,HKD,3.15,3.15,3.16,3.09,9385650
2026-01-13,0839.HK,HKD,3.15,3.21,3.27,3.15,7687671
2026-01-14,0839.HK,HKD,3.23,3.28,3.36,3.22,13592947
2026-01-15,0839.HK,HKD,3.3,3.17,3.3,3.17,6455000
2026-01-16,0839.HK,HKD,3.18,3.18,3.28,3.15,8417000
2026-01-19,0839.HK,HKD,3.15,3.1,3.16,3.07,6571180
2026-01-20,0839.HK,HKD,3.09,3.04,3.1,3.03,8411999
2026-01-21,0839.HK,HKD,3.04,3.09,3.1,3.03,6578291
2026-01-22,0839.HK,HKD,3.09,3.12,3.14,3.09,5133000
2026-01-23,0839.HK,HKD,3.12,3.08,3.12,3.03,8628000
2026-01-26,0839.HK,HKD,3.09,3.02,3.09,3.01,5261000
2026-01-27,0839.HK,HKD,3.02,3.03,3.05,2.99,3716000
2026-01-28,0839.HK,HKD,3.01,3.02,3.05,3.0,3528000
2026-01-29,0839.HK,HKD,3.06,3.05,3.09,3.01,7419594
2026-01-30,0839.HK,HKD,3.07,3.04,3.31,3.01,59804000
2026-02-02,0839.HK,HKD,3.05,2.98,3.05,2.96,14591398
2026-02-03,0839.HK,HKD,3.03,2.99,3.06,2.96,8373267
2026-02-04,0839.HK,HKD,2.95,2.99,2.99,2.92,6943518
2026-02-05,0839.HK,HKD,2.98,3.01,3.01,2.95,3657978
2026-02-06,0839.HK,HKD,2.97,3.02,3.03,2.97,3927000
2026-02-09,0839.HK,HKD,3.03,3.06,3.11,3.03,6549491
2026-02-10,0839.HK,HKD,3.11,3.03,3.13,3.03,3042000
2026-02-11,0839.HK,HKD,3.07,3.04,3.07,3.01,4204497
2026-02-12,0839.HK,HKD,3.04,2.97,3.06,2.97,5852000
2026-02-13,0839.HK,HKD,2.97,2.98,2.98,2.93,4081996
2026-02-16,0839.HK,HKD,2.98,2.96,2.99,2.92,870000
2026-02-20,0839.HK,HKD,3.0,2.94,3.0,2.92,1484000
2026-02-23,0839.HK,HKD,2.98,3.0,3.03,2.92,2858055
2026-02-24,0839.HK,HKD,2.99,2.93,3.01,2.92,7621867
