date,symbol,currency,open,close,high,low,volume
2025-11-12,1316.HK,HKD,6.74,6.83,6.98,6.59,6079788
2025-11-13,1316.HK,HKD,6.83,6.72,6.83,6.57,6939400
2025-11-14,1316.HK,HKD,6.55,6.5,6.66,6.46,8265552
2025-11-17,1316.HK,HKD,6.5,6.38,6.5,6.33,8550000
2025-11-18,1316.HK,HKD,6.3,6.05,6.3,5.97,14468284
2025-11-19,1316.HK,HKD,6.05,5.97,6.15,5.91,8821952
2025-11-20,1316.HK,HKD,6.11,5.97,6.13,5.9,5585219
2025-11-21,1316.HK,HKD,5.85,5.7,5.85,5.65,9839610
2025-11-24,1316.HK,HKD,5.84,5.93,5.99,5.73,6224284
2025-11-25,1316.HK,HKD,6.02,6.01,6.07,5.94,6459425
2025-11-26,1316.HK,HKD,6.01,5.97,6.09,5.93,5986000
2025-11-27,1316.HK,HKD,5.97,5.82,5.99,5.78,7808000
2025-11-28,1316.HK,HKD,5.84,5.88,5.89,5.78,6383000
2025-12-01,1316.HK,HKD,5.89,5.88,5.97,5.84,7434698
2025-12-02,1316.HK,HKD,5.91,5.89,6.02,5.79,7382000
2025-12-03,1316.HK,HKD,5.87,5.82,5.94,5.77,6208052
2025-12-04,1316.HK,HKD,5.89,5.98,6.05,5.86,5261000
2025-12-05,1316.HK,HKD,5.95,6.02,6.17,5.87,11086108
2025-12-08,1316.HK,HKD,6.2,6.32,6.53,6.12,12929000
2025-12-09,1316.HK,HKD,6.29,6.12,6.4,6.04,7827276
2025-12-10,1316.HK,HKD,6.12,6.14,6.23,6.05,4772000
2025-12-11,1316.HK,HKD,6.14,5.93,6.25,5.88,6759000
2025-12-12,1316.HK,HKD,6.03,6.14,6.19,5.92,7559000
2025-12-15,1316.HK,HKD,6.1,6.04,6.19,5.92,13209000
2025-12-16,1316.HK,HKD,6.26,5.96,6.48,5.77,26765946
2025-12-17,1316.HK,HKD,6.17,6.12,6.31,5.92,19706000
2025-12-18,1316.HK,HKD,6.1,6.03,6.16,5.94,9448000
2025-12-19,1316.HK,HKD,6.11,6.65,6.71,6.09,35440000
2025-12-22,1316.HK,HKD,6.85,6.76,7.28,6.75,41808416
2025-12-23,1316.HK,HKD,6.64,6.67,6.87,6.6,11758410
2025-12-24,1316.HK,HKD,6.66,6.59,6.78,6.55,7787000
2025-12-29,1316.HK,HKD,6.67,6.5,6.83,6.45,12817300
2025-12-30,1316.HK,HKD,6.28,6.6,6.68,6.28,10290549
2025-12-31,1316.HK,HKD,6.6,6.41,6.67,6.36,7785149
2026-01-02,1316.HK,HKD,6.41,6.66,6.72,6.35,8245762
2026-01-05,1316.HK,HKD,6.58,6.83,6.93,6.45,24684014
2026-01-06,1316.HK,HKD,6.87,7.3,7.49,6.87,50836602
2026-01-07,1316.HK,HKD,7.3,7.28,7.4,7.19,24354426
2026-01-08,1316.HK,HKD,7.21,7.24,7.34,7.07,25068000
2026-01-09,1316.HK,HKD,7.26,7.1,7.34,7.03,14596000
2026-01-12,1316.HK,HKD,7.11,7.18,7.28,6.96,22866710
2026-01-13,1316.HK,HKD,7.39,7.21,7.44,7.08,26338356
2026-01-14,1316.HK,HKD,7.22,6.94,7.25,6.89,22893109
2026-01-15,1316.HK,HKD,7.0,7.09,7.21,6.95,9736821
2026-01-16,1316.HK,HKD,7.2,7.31,7.48,7.07,27651900
2026-01-19,1316.HK,HKD,7.31,7.25,7.34,7.16,9803000
2026-01-20,1316.HK,HKD,7.25,6.98,7.25,6.98,10999000
2026-01-21,1316.HK,HKD,6.9,7.06,7.1,6.74,19198000
2026-01-22,1316.HK,HKD,7.08,7.4,7.47,7.08,27977000
2026-01-23,1316.HK,HKD,7.52,7.43,7.6,7.18,25120000
2026-01-26,1316.HK,HKD,7.43,6.86,7.44,6.74,26818000
2026-01-27,1316.HK,HKD,6.86,7.14,7.2,6.73,19619000
2026-01-28,1316.HK,HKD,7.2,6.78,7.2,6.56,30521983
2026-01-29,1316.HK,HKD,6.68,6.71,6.87,6.68,12505000
2026-01-30,1316.HK,HKD,6.7,6.66,6.78,6.52,7589639
2026-02-02,1316.HK,HKD,6.62,6.41,6.62,6.32,10071178
2026-02-03,1316.HK,HKD,6.48,6.63,6.65,6.46,7645000
2026-02-04,1316.HK,HKD,6.58,6.59,6.7,6.5,5680600
2026-02-05,1316.HK,HKD,6.52,6.79,6.83,6.5,9926000
2026-02-06,1316.HK,HKD,6.59,6.72,6.85,6.58,5312500
2026-02-09,1316.HK,HKD,6.96,7.18,7.2,6.95,23693462
2026-02-10,1316.HK,HKD,7.21,7.06,7.21,7.03,7135149
2026-02-11,1316.HK,HKD,7.06,7.11,7.13,7.0,7022277
2026-02-12,1316.HK,HKD,7.14,7.25,7.25,7.03,6793000
2026-02-13,1316.HK,HKD,7.1,7.81,7.95,7.07,36337182
2026-02-16,1316.HK,HKD,7.86,7.79,7.98,7.58,3386580
2026-02-20,1316.HK,HKD,7.62,7.73,7.86,7.56,8173880
2026-02-23,1316.HK,HKD,7.91,8.04,8.08,7.91,7458078
2026-02-24,1316.HK,HKD,8.03,8.1,8.25,7.57,28630355
2026-02-25,1316.HK,HKD,8.1,7.98,8.22,7.9,12174802
2026-02-26,1316.HK,HKD,8.09,7.62,8.09,7.58,17388007
2026-02-27,1316.HK,HKD,7.68,7.48,7.68,7.39,11000349
2026-03-02,1316.HK,HKD,7.36,7.32,7.5,7.25,10165349
2026-03-03,1316.HK,HKD,7.48,6.8,7.48,6.65,19064000
2026-03-04,1316.HK,HKD,6.8,6.66,6.94,6.5,13673444
2026-03-05,1316.HK,HKD,6.74,6.67,6.96,6.59,14709973
2026-03-06,1316.HK,HKD,6.65,6.72,6.87,6.65,9320278
2026-03-09,1316.HK,HKD,6.66,6.43,6.66,6.22,13186010
2026-03-10,1316.HK,HKD,6.52,6.53,6.59,6.39,10170100
2026-03-11,1316.HK,HKD,6.55,6.69,6.81,6.55,11789000
2026-03-12,1316.HK,HKD,6.69,6.41,6.75,6.35,10357000
2026-03-13,1316.HK,HKD,6.38,6.14,6.4,6.11,19955000
2026-03-16,1316.HK,HKD,6.14,6.31,6.34,6.04,10533142
2026-03-17,1316.HK,HKD,6.31,6.17,6.46,6.15,10631284
2026-03-18,1316.HK,HKD,6.17,6.26,6.33,6.13,8911142
2026-03-19,1316.HK,HKD,6.2,5.96,6.2,5.9,22176000
2026-03-20,1316.HK,HKD,6.0,5.8,6.02,5.72,17664000
2026-03-23,1316.HK,HKD,5.72,5.52,5.72,5.34,20616090
2026-03-24,1316.HK,HKD,5.72,5.85,5.87,5.45,16306706
2026-03-25,1316.HK,HKD,5.7,5.38,5.73,5.3,48548279
2026-03-26,1316.HK,HKD,5.38,5.15,5.48,5.09,28595026
2026-03-27,1316.HK,HKD,5.12,5.2,5.23,5.03,16831840
2026-03-30,1316.HK,HKD,5.12,4.95,5.12,4.81,25441810
2026-03-31,1316.HK,HKD,4.98,5.03,5.18,4.95,12142386
2026-04-01,1316.HK,HKD,5.2,5.2,5.27,5.11,9277284
2026-04-02,1316.HK,HKD,5.2,5.26,5.33,5.18,9603156
2026-04-08,1316.HK,HKD,5.39,5.49,5.54,5.31,13665163
2026-04-09,1316.HK,HKD,5.48,5.38,5.48,5.35,7029000
