date,symbol,currency,open,close,high,low,volume
2025-11-12,3939.HK,HKD,33.76,32.18,33.76,31.74,5939936
2025-11-13,3939.HK,HKD,33.0,33.12,33.3,32.62,2495892
2025-11-14,3939.HK,HKD,32.8,32.8,33.08,31.9,1806137
2025-11-17,3939.HK,HKD,31.82,31.08,32.78,30.64,3352582
2025-11-18,3939.HK,HKD,30.3,29.62,30.72,29.38,3717450
2025-11-19,3939.HK,HKD,30.66,32.76,32.84,29.88,6160136
2025-11-20,3939.HK,HKD,32.76,32.1,33.24,31.56,4777500
2025-11-21,3939.HK,HKD,31.22,30.3,31.6,30.14,2555400
2025-11-24,3939.HK,HKD,31.42,31.84,31.84,29.78,3731892
2025-11-25,3939.HK,HKD,8.25,8.05,8.34,7.9,5102939
2025-11-26,3939.HK,HKD,8.05,7.67,8.07,7.51,8546395
2025-11-27,3939.HK,HKD,7.67,7.87,8.0,7.67,5459701
2025-11-28,3939.HK,HKD,8.0,7.96,8.16,7.87,8128000
2025-12-01,3939.HK,HKD,8.2,8.28,8.3,8.03,10970306
2025-12-02,3939.HK,HKD,8.28,8.06,8.28,7.95,6622000
2025-12-03,3939.HK,HKD,7.82,8.0,8.12,7.82,4224000
2025-12-04,3939.HK,HKD,8.13,7.77,8.29,7.7,8798388
2025-12-05,3939.HK,HKD,7.82,7.93,7.99,7.76,8216076
2025-12-08,3939.HK,HKD,7.99,7.98,8.03,7.6,12670884
2025-12-09,3939.HK,HKD,8.27,7.59,8.27,7.2,15983500
2025-12-10,3939.HK,HKD,7.59,7.64,7.73,7.4,13810500
2025-12-11,3939.HK,HKD,7.8,7.38,7.8,7.24,12791040
2025-12-12,3939.HK,HKD,7.41,7.56,7.67,7.38,16158172
2025-12-15,3939.HK,HKD,7.65,7.65,7.87,7.41,12750368
2025-12-16,3939.HK,HKD,7.75,7.23,7.75,7.1,14542000
2025-12-17,3939.HK,HKD,7.2,7.33,7.48,7.17,14519548
2025-12-18,3939.HK,HKD,7.27,7.3,7.43,7.24,6218794
2025-12-19,3939.HK,HKD,7.23,7.21,7.3,6.96,37732940
2025-12-22,3939.HK,HKD,7.38,8.0,8.13,7.37,69857453
2025-12-23,3939.HK,HKD,8.22,8.43,8.6,8.22,43021311
2025-12-24,3939.HK,HKD,8.56,8.35,8.6,8.24,12103764
2025-12-29,3939.HK,HKD,8.36,7.8,8.5,7.77,21710065
2025-12-30,3939.HK,HKD,7.53,7.64,7.84,7.5,23898706
2025-12-31,3939.HK,HKD,7.64,7.63,7.9,7.6,11287882
2026-01-02,3939.HK,HKD,7.65,7.87,7.92,7.52,2799091
2026-01-05,3939.HK,HKD,7.92,8.1,8.32,7.9,23772332
2026-01-06,3939.HK,HKD,8.28,8.75,9.02,8.22,35912028
2026-01-07,3939.HK,HKD,9.06,8.81,9.06,8.66,15443426
2026-01-08,3939.HK,HKD,8.8,9.56,9.7,8.57,38458992
2026-01-09,3939.HK,HKD,9.49,9.55,9.84,9.3,26400930
2026-01-12,3939.HK,HKD,9.99,9.56,10.08,9.39,21647336
2026-01-13,3939.HK,HKD,9.61,10.1,10.26,9.57,48534536
2026-01-14,3939.HK,HKD,10.24,11.57,11.66,10.24,98115625
2026-01-15,3939.HK,HKD,11.84,12.5,13.17,11.35,124645720
2026-01-16,3939.HK,HKD,12.79,12.17,12.94,11.9,49305969
2026-01-19,3939.HK,HKD,12.45,12.51,12.65,12.05,28702851
2026-01-20,3939.HK,HKD,12.51,13.42,13.46,12.23,34138502
2026-01-21,3939.HK,HKD,13.72,13.06,14.38,12.66,99317603
2026-01-22,3939.HK,HKD,11.96,13.3,13.35,11.96,41286647
2026-01-23,3939.HK,HKD,13.69,13.33,13.91,13.1,50411845
2026-01-26,3939.HK,HKD,13.79,13.12,14.15,12.93,57005150
2026-01-27,3939.HK,HKD,12.99,12.87,13.36,12.42,69064056
2026-01-28,3939.HK,HKD,13.12,14.27,14.39,12.78,67139917
2026-01-29,3939.HK,HKD,14.6,13.65,15.22,13.14,117296661
2026-01-30,3939.HK,HKD,13.15,12.45,13.45,12.3,56176512
2026-02-02,3939.HK,HKD,12.0,12.91,13.54,11.5,148437036
2026-02-03,3939.HK,HKD,13.46,14.67,15.25,13.34,106020120
2026-02-04,3939.HK,HKD,15.14,15.73,16.09,14.69,62464854
2026-02-05,3939.HK,HKD,15.6,14.6,15.6,13.9,61476780
2026-02-06,3939.HK,HKD,13.98,14.7,15.2,13.4,61074466
2026-02-09,3939.HK,HKD,15.3,15.97,16.1,14.9,44914791
2026-02-10,3939.HK,HKD,16.01,15.97,16.36,15.5,27102642
2026-02-11,3939.HK,HKD,15.98,17.46,17.75,15.95,47846921
2026-02-12,3939.HK,HKD,17.47,16.78,17.47,16.64,43439325
2026-02-13,3939.HK,HKD,16.2,15.76,16.54,15.61,48139046
2026-02-16,3939.HK,HKD,15.95,16.05,16.35,15.82,5896500
2026-02-20,3939.HK,HKD,16.9,16.57,16.97,16.05,12938310
2026-02-23,3939.HK,HKD,16.98,17.5,17.8,16.93,10309840
2026-02-24,3939.HK,HKD,17.46,17.21,17.66,16.85,22999830
2026-02-25,3939.HK,HKD,17.3,18.4,18.57,17.25,29311120
2026-02-26,3939.HK,HKD,18.38,17.59,18.38,17.08,33916449
2026-02-27,3939.HK,HKD,17.7,17.93,18.38,17.65,50009420
2026-03-02,3939.HK,HKD,18.58,18.19,18.69,17.4,49372513
2026-03-03,3939.HK,HKD,18.2,16.68,18.2,16.4,49699027
2026-03-04,3939.HK,HKD,16.09,16.53,16.98,16.08,25244494
2026-03-05,3939.HK,HKD,16.66,16.44,16.9,16.1,16020828
2026-03-06,3939.HK,HKD,16.0,16.09,16.35,15.53,26356090
2026-03-09,3939.HK,HKD,15.56,15.8,15.88,14.81,45993565
2026-03-10,3939.HK,HKD,16.22,16.52,16.68,16.11,18679721
2026-03-11,3939.HK,HKD,16.82,16.15,16.86,16.11,15841100
2026-03-12,3939.HK,HKD,16.15,15.7,16.15,15.31,20735402
2026-03-13,3939.HK,HKD,15.4,15.35,15.98,15.2,17068000
2026-03-16,3939.HK,HKD,15.35,15.01,15.42,14.21,33970186
2026-03-17,3939.HK,HKD,15.01,14.6,15.28,14.42,26613420
2026-03-18,3939.HK,HKD,14.5,14.48,14.66,14.11,25549306
2026-03-19,3939.HK,HKD,13.8,11.64,13.8,11.55,118133127
2026-03-20,3939.HK,HKD,11.86,11.77,12.56,11.54,86387700
2026-03-23,3939.HK,HKD,10.7,11.01,11.2,10.43,94596509
2026-03-24,3939.HK,HKD,11.41,12.06,12.2,11.0,61845732
2026-03-25,3939.HK,HKD,13.0,12.46,13.4,12.26,56526069
2026-03-26,3939.HK,HKD,12.53,12.05,12.7,11.88,27017164
2026-03-27,3939.HK,HKD,11.8,12.41,12.55,11.79,23926861
2026-03-30,3939.HK,HKD,12.38,13.61,13.75,12.23,60183640
2026-03-31,3939.HK,HKD,13.64,13.48,14.29,13.37,50379443
2026-04-01,3939.HK,HKD,14.4,14.24,14.49,13.78,41001252
2026-04-02,3939.HK,HKD,14.45,13.57,14.45,13.48,41077177
