date,symbol,currency,open,close,high,low,volume
2025-11-12,2586.HK,HKD,7.77,7.87,7.94,7.62,1515565
2025-11-13,2586.HK,HKD,7.87,7.84,7.92,7.74,847346
2025-11-14,2586.HK,HKD,7.85,7.89,8.3,7.76,2714203
2025-11-17,2586.HK,HKD,7.91,8.05,8.29,7.91,9741881
2025-11-18,2586.HK,HKD,7.96,7.58,8.04,7.53,2218650
2025-11-19,2586.HK,HKD,7.68,7.31,7.72,6.99,5142461
2025-11-20,2586.HK,HKD,7.6,7.3,7.65,7.15,3352633
2025-11-21,2586.HK,HKD,7.09,7.15,7.24,6.98,2529664
2025-11-24,2586.HK,HKD,7.15,7.46,7.48,7.06,2758070
2025-11-25,2586.HK,HKD,7.5,7.3,7.76,7.29,1795217
2025-11-26,2586.HK,HKD,7.4,7.07,7.4,7.03,2790112
2025-11-27,2586.HK,HKD,7.19,7.15,7.2,6.99,1244885
2025-11-28,2586.HK,HKD,7.11,7.43,7.5,7.08,2317916
2025-12-01,2586.HK,HKD,7.5,7.01,7.5,7.01,3071377
2025-12-02,2586.HK,HKD,7.08,6.53,7.08,6.5,3901600
2025-12-03,2586.HK,HKD,6.52,6.28,6.57,6.16,4336129
2025-12-04,2586.HK,HKD,6.3,6.28,6.36,6.11,4375972
2025-12-05,2586.HK,HKD,6.3,6.46,6.5,6.23,2354312
2025-12-08,2586.HK,HKD,6.5,6.62,6.66,6.35,2134079
2025-12-09,2586.HK,HKD,6.66,6.76,6.83,6.52,2013775
2025-12-10,2586.HK,HKD,6.8,6.52,6.8,6.37,2176907
2025-12-11,2586.HK,HKD,6.55,6.7,6.74,6.45,2434368
2025-12-12,2586.HK,HKD,6.75,6.85,6.87,6.68,1985700
2025-12-15,2586.HK,HKD,6.88,7.04,7.05,6.78,1297972
2025-12-16,2586.HK,HKD,7.05,7.05,7.08,6.82,1530851
2025-12-17,2586.HK,HKD,6.93,7.06,7.18,6.93,1221700
2025-12-18,2586.HK,HKD,6.9,7.0,7.12,6.9,1007037
2025-12-19,2586.HK,HKD,7.12,7.1,7.17,6.94,1087240
2025-12-22,2586.HK,HKD,7.12,7.15,7.22,7.11,777517
2025-12-23,2586.HK,HKD,7.17,7.14,7.17,6.96,651080
2025-12-24,2586.HK,HKD,7.15,7.15,7.17,7.1,174200
2025-12-29,2586.HK,HKD,7.18,7.08,7.18,6.94,1662710
2025-12-30,2586.HK,HKD,7.09,7.09,7.15,6.96,1318906
2025-12-31,2586.HK,HKD,7.12,7.21,7.36,7.02,1681900
2026-01-02,2586.HK,HKD,7.25,7.46,7.49,7.19,529936
2026-01-05,2586.HK,HKD,7.46,7.43,7.46,7.12,2161864
2026-01-06,2586.HK,HKD,7.46,7.6,7.65,7.44,1899222
2026-01-07,2586.HK,HKD,7.76,7.71,7.76,7.59,1237206
2026-01-08,2586.HK,HKD,7.75,7.85,7.88,7.66,1946286
2026-01-09,2586.HK,HKD,7.88,7.83,7.99,7.68,2189281
2026-01-12,2586.HK,HKD,7.9,8.89,9.21,7.9,17867375
2026-01-13,2586.HK,HKD,9.16,8.6,9.68,8.56,7723156
2026-01-14,2586.HK,HKD,8.6,8.46,8.84,8.3,5021337
2026-01-15,2586.HK,HKD,8.51,8.57,8.78,8.48,2500742
2026-01-16,2586.HK,HKD,8.6,8.19,8.71,8.05,3996028
2026-01-19,2586.HK,HKD,8.23,8.34,8.35,8.0,1433145
2026-01-20,2586.HK,HKD,8.36,8.55,8.6,8.11,2338638
2026-01-21,2586.HK,HKD,8.55,8.7,8.76,8.4,1151476
2026-01-22,2586.HK,HKD,8.8,8.92,9.5,8.7,9018666
2026-01-23,2586.HK,HKD,8.93,8.49,9.06,8.44,2578017
2026-01-26,2586.HK,HKD,8.55,8.63,8.75,8.36,1997585
2026-01-27,2586.HK,HKD,8.65,8.6,8.65,8.35,1157474
2026-01-28,2586.HK,HKD,8.65,8.44,8.66,8.33,1627570
2026-01-29,2586.HK,HKD,8.44,8.56,8.78,8.23,1491974
2026-01-30,2586.HK,HKD,8.6,8.31,8.65,8.24,1972899
2026-02-02,2586.HK,HKD,8.35,8.34,8.59,8.21,971628
2026-02-03,2586.HK,HKD,8.38,8.49,8.63,8.27,1853853
2026-02-04,2586.HK,HKD,8.55,8.31,8.7,8.19,1506924
2026-02-05,2586.HK,HKD,8.35,8.41,8.45,8.23,1024041
2026-02-06,2586.HK,HKD,8.45,8.19,8.45,8.12,1606236
2026-02-09,2586.HK,HKD,8.38,8.5,8.54,8.27,1096393
2026-02-10,2586.HK,HKD,8.78,8.67,8.78,8.38,1158967
2026-02-11,2586.HK,HKD,8.79,8.65,8.79,8.52,1233507
2026-02-12,2586.HK,HKD,8.66,8.92,8.93,8.65,1970205
2026-02-13,2586.HK,HKD,8.9,9.0,9.0,8.6,1183200
2026-02-16,2586.HK,HKD,9.0,8.9,9.0,8.7,25000
2026-02-20,2586.HK,HKD,8.87,8.75,8.99,8.65,167600
2026-02-23,2586.HK,HKD,8.75,8.86,8.91,8.75,88900
2026-02-24,2586.HK,HKD,8.84,8.65,8.84,8.52,1744800
2026-02-25,2586.HK,HKD,8.49,8.65,8.79,8.49,1235400
2026-02-26,2586.HK,HKD,8.65,8.63,8.79,8.57,940800
2026-02-27,2586.HK,HKD,8.55,8.46,8.97,8.46,6280014
2026-03-02,2586.HK,HKD,8.35,7.35,8.37,7.31,2844500
2026-03-03,2586.HK,HKD,7.37,7.0,7.55,6.91,2785600
2026-03-04,2586.HK,HKD,6.98,6.99,7.27,6.87,1178200
2026-03-05,2586.HK,HKD,7.22,7.08,7.22,7.0,639100
2026-03-06,2586.HK,HKD,7.02,7.34,7.56,7.02,1990100
2026-03-09,2586.HK,HKD,7.34,7.23,7.34,7.01,965200
2026-03-10,2586.HK,HKD,7.23,7.48,7.55,7.23,705800
2026-03-11,2586.HK,HKD,7.34,7.51,7.57,7.34,255900
2026-03-12,2586.HK,HKD,7.52,7.56,7.58,7.35,493100
2026-03-13,2586.HK,HKD,7.54,7.52,7.87,7.47,725500
2026-03-16,2586.HK,HKD,7.53,7.46,7.61,7.39,761200
2026-03-17,2586.HK,HKD,7.42,8.39,9.15,7.42,20335700
2026-03-18,2586.HK,HKD,8.31,7.7,8.57,7.6,7436500
2026-03-19,2586.HK,HKD,7.97,7.62,8.16,7.46,10035300
2026-03-20,2586.HK,HKD,7.82,7.54,7.82,7.3,2903500
2026-03-23,2586.HK,HKD,7.55,7.42,7.55,7.2,2590900
2026-03-24,2586.HK,HKD,7.52,7.58,7.64,7.23,2207200
2026-03-25,2586.HK,HKD,7.58,7.47,7.68,7.4,3369400
2026-03-26,2586.HK,HKD,7.5,7.4,7.5,7.25,1561700
2026-03-27,2586.HK,HKD,7.3,7.42,7.79,7.26,3301200
2026-03-30,2586.HK,HKD,7.42,7.41,7.62,7.26,2592300
2026-03-31,2586.HK,HKD,7.33,7.39,7.43,7.28,1139500
2026-04-01,2586.HK,HKD,7.39,7.42,7.5,7.32,2659400
2026-04-02,2586.HK,HKD,7.42,7.09,7.42,7.07,3167400
2026-04-08,2586.HK,HKD,7.16,7.43,7.45,7.16,2200900
2026-04-09,2586.HK,HKD,7.45,7.43,7.48,7.32,1014300
2026-04-10,2586.HK,HKD,7.47,7.16,7.72,7.13,7371900
2026-04-13,2586.HK,HKD,7.11,7.2,7.27,7.0,2489600
2026-04-14,2586.HK,HKD,7.23,7.35,7.39,7.2,1699100
2026-04-15,2586.HK,HKD,7.34,7.25,7.37,7.16,1920400
2026-04-16,2586.HK,HKD,7.27,7.2,7.3,7.16,2653534
