date,symbol,currency,open,close,high,low,volume
2025-11-12,0354.HK,HKD,5.82,5.77,5.84,5.71,12646936
2025-11-13,0354.HK,HKD,5.79,5.77,5.79,5.7,17420658
2025-11-14,0354.HK,HKD,5.7,5.46,5.7,5.45,40982000
2025-11-17,0354.HK,HKD,5.5,5.7,5.7,5.45,40026496
2025-11-18,0354.HK,HKD,5.7,5.75,5.89,5.68,42956000
2025-11-19,0354.HK,HKD,5.75,5.55,5.78,5.51,23842000
2025-11-20,0354.HK,HKD,5.6,5.49,5.67,5.43,30524300
2025-11-21,0354.HK,HKD,5.39,5.24,5.39,5.21,53950711
2025-11-24,0354.HK,HKD,5.31,5.42,5.42,5.15,34288094
2025-11-25,0354.HK,HKD,5.44,5.45,5.54,5.4,23332825
2025-11-26,0354.HK,HKD,5.47,5.39,5.48,5.37,13574600
2025-11-27,0354.HK,HKD,5.42,5.32,5.45,5.29,14212000
2025-11-28,0354.HK,HKD,5.35,5.23,5.35,5.23,24846000
2025-12-01,0354.HK,HKD,5.23,5.3,5.34,5.2,12308000
2025-12-02,0354.HK,HKD,5.33,5.23,5.33,5.19,16138000
2025-12-03,0354.HK,HKD,5.24,5.12,5.24,5.09,22606000
2025-12-04,0354.HK,HKD,5.08,5.19,5.2,5.08,14479976
2025-12-05,0354.HK,HKD,5.19,5.2,5.2,5.09,18633453
2025-12-08,0354.HK,HKD,5.22,5.21,5.23,5.15,14212570
2025-12-09,0354.HK,HKD,5.2,5.14,5.22,5.1,11232436
2025-12-10,0354.HK,HKD,5.14,5.18,5.19,5.07,14142500
2025-12-11,0354.HK,HKD,5.19,5.05,5.2,5.05,10982000
2025-12-12,0354.HK,HKD,5.08,5.15,5.17,5.06,14705600
2025-12-15,0354.HK,HKD,5.09,5.06,5.11,5.04,11078000
2025-12-16,0354.HK,HKD,5.06,4.92,5.06,4.87,21791800
2025-12-17,0354.HK,HKD,4.91,4.96,4.99,4.87,17154000
2025-12-18,0354.HK,HKD,4.92,4.93,4.94,4.87,10240000
2025-12-19,0354.HK,HKD,4.96,5.05,5.07,4.95,12043590
2025-12-22,0354.HK,HKD,5.08,5.1,5.14,5.06,10826000
2025-12-23,0354.HK,HKD,5.12,5.09,5.13,5.05,7234000
2025-12-24,0354.HK,HKD,5.09,5.06,5.13,5.06,3442643
2025-12-29,0354.HK,HKD,5.1,5.02,5.15,5.02,18646000
2025-12-30,0354.HK,HKD,5.08,5.01,5.08,4.99,10974000
2025-12-31,0354.HK,HKD,5.01,4.97,5.02,4.95,9080000
2026-01-02,0354.HK,HKD,4.97,5.17,5.22,4.97,10366000
2026-01-05,0354.HK,HKD,5.16,5.15,5.16,5.09,15584639
2026-01-06,0354.HK,HKD,5.16,5.26,5.26,5.16,25016000
2026-01-07,0354.HK,HKD,5.26,5.19,5.26,5.12,16234635
2026-01-08,0354.HK,HKD,5.19,5.16,5.19,5.09,15771856
2026-01-09,0354.HK,HKD,5.22,5.22,5.26,5.11,24290000
2026-01-12,0354.HK,HKD,5.31,5.58,5.6,5.3,70430000
2026-01-13,0354.HK,HKD,5.67,5.45,5.71,5.4,38806635
2026-01-14,0354.HK,HKD,5.48,5.59,5.7,5.47,51404000
2026-01-15,0354.HK,HKD,5.68,5.53,5.68,5.46,26114158
2026-01-16,0354.HK,HKD,5.55,5.45,5.59,5.43,15144030
2026-01-19,0354.HK,HKD,5.46,5.27,5.46,5.27,17666000
2026-01-20,0354.HK,HKD,5.25,5.21,5.32,5.19,13716415
2026-01-21,0354.HK,HKD,5.19,5.3,5.3,5.18,17091800
2026-01-22,0354.HK,HKD,5.35,5.32,5.43,5.28,17651498
2026-01-23,0354.HK,HKD,5.34,5.34,5.35,5.27,17668022
2026-01-26,0354.HK,HKD,5.36,5.26,5.37,5.23,19399640
2026-01-27,0354.HK,HKD,5.25,5.23,5.28,5.16,18062000
2026-01-28,0354.HK,HKD,5.26,5.21,5.32,5.19,15274000
2026-01-29,0354.HK,HKD,5.2,5.18,5.26,5.1,17678640
2026-01-30,0354.HK,HKD,5.17,5.04,5.17,5.0,23368819
2026-02-02,0354.HK,HKD,5.02,4.89,5.02,4.85,32551559
2026-02-03,0354.HK,HKD,4.9,4.91,4.94,4.8,14034200
2026-02-04,0354.HK,HKD,4.89,4.58,4.89,4.44,92795000
2026-02-05,0354.HK,HKD,4.5,4.61,4.62,4.45,34372000
2026-02-06,0354.HK,HKD,4.51,4.52,4.59,4.44,20435533
2026-02-09,0354.HK,HKD,4.58,4.6,4.65,4.58,20820300
2026-02-10,0354.HK,HKD,4.63,4.61,4.68,4.61,13770000
2026-02-11,0354.HK,HKD,4.61,4.6,4.66,4.59,11772000
2026-02-12,0354.HK,HKD,4.6,4.51,4.6,4.51,13899306
2026-02-13,0354.HK,HKD,4.5,4.54,4.56,4.42,20339647
2026-02-16,0354.HK,HKD,4.54,4.49,4.55,4.4,6850000
2026-02-20,0354.HK,HKD,4.45,4.39,4.48,4.36,13528000
2026-02-23,0354.HK,HKD,4.41,4.46,4.52,4.41,10272000
2026-02-24,0354.HK,HKD,4.41,4.2,4.45,4.18,47717201
2026-02-25,0354.HK,HKD,4.24,4.18,4.25,4.17,24757711
2026-02-26,0354.HK,HKD,4.18,4.16,4.24,4.14,25947800
2026-02-27,0354.HK,HKD,4.16,4.27,4.32,4.16,33932104
2026-03-02,0354.HK,HKD,4.2,4.04,4.2,4.03,32059977
2026-03-03,0354.HK,HKD,4.05,3.8,4.07,3.76,55216000
2026-03-04,0354.HK,HKD,3.75,3.82,3.85,3.73,26852000
