date,symbol,currency,open,close,high,low,volume
2025-12-17,0160.HK,HKD,0.96,0.99,0.99,0.96,41000
2025-12-18,0160.HK,HKD,0.96,0.95,0.96,0.95,58000
2025-12-19,0160.HK,HKD,0.95,0.95,0.95,0.95,22000
2025-12-22,0160.HK,HKD,0.94,0.94,0.95,0.94,191000
2025-12-23,0160.HK,HKD,0.94,0.95,0.95,0.94,18000
2025-12-24,0160.HK,HKD,0.95,0.95,0.95,0.95,0
2025-12-29,0160.HK,HKD,0.94,0.94,0.94,0.94,26000
2025-12-30,0160.HK,HKD,0.94,0.94,0.94,0.94,3034
2025-12-31,0160.HK,HKD,0.94,0.94,0.94,0.94,0
2026-01-02,0160.HK,HKD,0.94,0.95,0.95,0.93,66000
2026-01-05,0160.HK,HKD,0.95,0.95,0.95,0.95,0
2026-01-06,0160.HK,HKD,0.94,0.95,0.95,0.94,1564000
2026-01-07,0160.HK,HKD,0.95,0.95,0.95,0.95,0
2026-01-08,0160.HK,HKD,0.95,0.95,0.95,0.95,0
2026-01-09,0160.HK,HKD,0.95,0.95,0.95,0.95,0
2026-01-12,0160.HK,HKD,0.95,0.95,0.95,0.95,0
2026-01-13,0160.HK,HKD,0.96,0.94,0.96,0.93,42000
2026-01-14,0160.HK,HKD,0.94,0.94,0.94,0.94,0
2026-01-15,0160.HK,HKD,0.94,0.94,0.94,0.94,2000
2026-01-16,0160.HK,HKD,0.91,0.95,0.98,0.91,569000
2026-01-19,0160.HK,HKD,0.94,0.94,0.94,0.94,14336
2026-01-20,0160.HK,HKD,0.94,0.94,0.94,0.94,0
2026-01-21,0160.HK,HKD,0.98,0.94,0.98,0.94,6000
2026-01-22,0160.HK,HKD,0.94,0.94,0.94,0.94,0
2026-01-23,0160.HK,HKD,0.94,0.94,0.94,0.94,6236
2026-01-26,0160.HK,HKD,0.95,0.95,0.95,0.95,0
2026-01-27,0160.HK,HKD,0.95,0.95,0.95,0.95,0
2026-01-28,0160.HK,HKD,0.96,0.96,0.96,0.96,0
2026-01-29,0160.HK,HKD,0.98,1.0,1.03,0.98,184000
2026-01-30,0160.HK,HKD,0.98,0.98,0.98,0.96,40000
2026-02-02,0160.HK,HKD,0.96,0.96,0.96,0.96,10100
2026-02-03,0160.HK,HKD,0.96,0.96,0.96,0.96,0
2026-02-04,0160.HK,HKD,0.97,0.95,0.97,0.95,138000
2026-02-05,0160.HK,HKD,0.95,0.95,0.95,0.95,0
2026-02-06,0160.HK,HKD,0.95,0.95,0.95,0.95,2000
2026-02-09,0160.HK,HKD,0.95,0.95,0.95,0.95,24000
2026-02-10,0160.HK,HKD,0.96,0.97,0.97,0.96,22000
2026-02-11,0160.HK,HKD,0.99,0.99,0.99,0.99,2000
2026-02-12,0160.HK,HKD,1.0,1.0,1.0,1.0,60000
2026-02-13,0160.HK,HKD,1.0,1.0,1.0,1.0,1100
2026-02-16,0160.HK,HKD,1.01,1.01,1.01,1.01,2000
2026-02-20,0160.HK,HKD,1.01,1.01,1.01,1.01,0
2026-02-23,0160.HK,HKD,1.01,1.01,1.01,1.01,20000
2026-02-24,0160.HK,HKD,1.01,1.02,1.02,1.01,30000
2026-02-25,0160.HK,HKD,1.02,1.02,1.02,1.02,0
2026-02-26,0160.HK,HKD,1.02,1.02,1.02,1.02,0
2026-02-27,0160.HK,HKD,1.02,1.02,1.02,1.02,0
2026-03-02,0160.HK,HKD,1.02,1.02,1.02,1.02,0
2026-03-03,0160.HK,HKD,1.02,1.02,1.02,1.02,0
2026-03-04,0160.HK,HKD,1.02,1.02,1.02,1.02,0
2026-03-05,0160.HK,HKD,1.02,1.02,1.02,1.02,0
2026-03-06,0160.HK,HKD,1.02,1.02,1.02,1.02,66000
2026-03-09,0160.HK,HKD,1.02,1.02,1.02,1.02,0
2026-03-10,0160.HK,HKD,1.02,1.02,1.02,1.02,18000
2026-03-11,0160.HK,HKD,1.03,1.03,1.03,1.03,112000
2026-03-12,0160.HK,HKD,1.03,1.03,1.03,1.03,0
2026-03-13,0160.HK,HKD,1.03,1.03,1.03,1.03,0
2026-03-16,0160.HK,HKD,1.0,1.0,1.0,1.0,60000
2026-03-17,0160.HK,HKD,0.98,0.98,0.98,0.98,60000
2026-03-18,0160.HK,HKD,0.98,0.98,0.98,0.98,0
2026-03-19,0160.HK,HKD,0.98,0.98,0.98,0.98,44000
2026-03-20,0160.HK,HKD,0.98,0.98,0.98,0.98,0
2026-03-23,0160.HK,HKD,0.97,0.97,0.97,0.97,10000
2026-03-24,0160.HK,HKD,0.97,0.97,0.97,0.97,10000
2026-03-25,0160.HK,HKD,0.97,0.97,0.97,0.97,0
2026-03-26,0160.HK,HKD,0.97,0.97,0.97,0.97,0
2026-03-27,0160.HK,HKD,0.97,0.97,0.97,0.97,0
2026-03-30,0160.HK,HKD,0.97,0.97,0.97,0.97,0
2026-03-31,0160.HK,HKD,0.97,0.97,0.97,0.97,0
2026-04-01,0160.HK,HKD,0.97,0.97,0.97,0.97,0
2026-04-02,0160.HK,HKD,0.97,0.97,0.97,0.97,0
2026-04-08,0160.HK,HKD,0.97,0.97,0.97,0.97,0
2026-04-09,0160.HK,HKD,0.97,0.97,0.97,0.97,0
2026-04-10,0160.HK,HKD,0.97,0.97,0.97,0.97,0
2026-04-13,0160.HK,HKD,0.95,0.96,0.96,0.95,31073
2026-04-14,0160.HK,HKD,0.96,0.96,0.96,0.96,0
2026-04-15,0160.HK,HKD,0.96,0.96,0.96,0.96,0
2026-04-16,0160.HK,HKD,0.96,0.96,0.96,0.96,0
